Time (ms),Reading
48018,65.9
48052,65.5
48085,65.9
48118,65.5
48185,65.9
48286,65.5
48353,65.9
48386,65.5
48420,65.9
48621,65.8
48654,65.5
48755,65.9
48822,65.5
48855,65.9
48888,6.6
48922,667.7
48955,66.7
48989,6.6
49022,66.7
49156,6.6
49391,66.8
49424,66.6
49466,66.8
49633,65.8
49666,65.5
49832,65.9
49866,65.5
49899,65.9
49932,65.8
49966,65.5
49999,65.9
50032,65.5
50066,65.9
50099,65.5
50232,65.9
50266,65.5
50332,65.9
50399,65.5
50432,65.9
50466,65.5
50499,65.9
50666,65.5
50732,65.9
50766,65.8
50799,65.5
50832,65.9
50899,65.5
50966,65.9
50999,65.5
51099,65.9
51132,655.5
51165,65.5
51232,65.8
51265,65.5
51299,65.9
51365,65.5
51399,65.9
51432,65.5
51465,65.9
51565,65.5
51665,65.9
51732,65.5
51765,65.9
51865,6.5
51899,65.5
51965,655.1
51999,65.9
52032,65.5
52065,65.9
52099,65.8
52132,625.1
52165,628.1
52199,621.0
52232,621.1
52265,62.1
52298,621.1
52398,62.1
52465,621.1
52498,62.1
52532,62.8
52598,621.1
52632,64.6
52665,648.8
52698,64.1
52732,648.8
52765,64.1
52832,6.4
52865,64.8
52932,64.5
53132,64.0
53165,65.0
53198,650.7
53232,6.5
53265,65.0
53298,6.5
53332,658.1
53365,651.7
53398,65.1
53465,6.5
53531,65.4
53565,65.7
53598,65.3
53631,65.4
53665,65.1
53765,65.7
53831,65.2
53865,65.1
53898,65.7
53931,6.5
53965,65.0
53998,65.2
54090,6.5
54123,65.8
54157,65.5
54224,65.9
54257,65.5
54291,65.9
54358,65.5
54425,6.5
54458,65.8
54492,65.9
54525,65.5
54760,65.9
54793,65.5
55135,65.9
55202,65.5
55301,65.8
55335,65.9
55368,65.5
55535,65.8
55568,65.5
55668,64.5
55701,64.9
55768,64.5
55801,64.9
55868,64.5
55901,65.0
56135,65.7
56201,65.8
56235,65.7
56326,65.8
56427,65.1
56494,65.8
56527,65.1
56594,65.8
56761,65.6
56828,65.8
57130,65.5
57840,65.9
57873,65.5
58007,65.9
58073,65.5
58240,65.9
58306,65.5
58340,65.9
58373,65.5
58406,65.9
58506,65.5
58540,65.9
58606,65.5
58706,65.9
58740,65.8
58773,65.5
58806,65.9
58873,65.5
59006,65.9
59140,65.5
59173,65.9
59339,65.5
59439,65.8
59473,65.9
59506,65.5
59606,65.8
59706,65.9
59739,65.8
59773,65.9
59806,65.5
59873,65.9
59939,65.8
59973,65.5
60006,65.8
60039,65.9
60073,65.5
60139,65.9
60206,65.5
60339,65.9
60406,65.8
60439,65.9
60539,659.5
60572,65.5
60639,65.4
60772,165.4
60806,65.4
61739,65.2
61772,65.4
61972,65.2
62005,65.4
63438,165.4
63472,65.4
63838,65.2
63872,65.4
63905,65.2
63938,65.4
64498,65.2
64531,65.4
64598,465.4
64632,65.4
64899,66.9
64933,665.7
64966,66.9
65067,66.5
65335,66.9
65368,66.5
65402,65.9
65469,65.5
65502,655.1
65536,65.5
65569,65.9
65636,65.5
65736,65.9
65770,65.5
65837,65.9
65904,65.5
65937,65.9
66038,65.5
66071,65.9
66205,65.8
66239,65.5
66272,65.9
66306,65.5
66373,6.5
66406,65.5
66473,659.1
66506,65.9
66573,65.5
66607,65.9
66640,65.5
66707,65.9
66741,65.5
66774,65.9
66808,65.5
66875,6.5
66908,6.6
67377,661.7
67444,66.0
67645,65.5
67745,65.9
67812,65.5
67846,65.9
67879,65.8
68616,65.1
68649,65.8
68683,65.5
68783,65.9
69051,65.5
69118,65.9
69151,65.8
69285,658.7
69319,65.8
69386,63.2
69453,67.2
69486,6.7
69620,652.6
69654,65.9
69687,65.5
69720,65.8
69754,65.9
69787,6.5
69821,65.9
69854,655.6
69888,65.5
69988,65.8
70022,65.9
70089,655.1
70122,65.5
70223,65.9
70256,65.5
70290,65.9
70323,65.5
70390,65.9
70557,65.5
70658,659.5
70700,65.9
70925,65.5
70992,65.8
71025,65.9
71092,65.5
71159,65.9
71193,65.5
71260,6.5
71293,65.5
71595,65.9
71662,65.5
71695,65.9
71728,65.8
71762,65.9
72164,65.5
72197,65.9
72398,65.8
72565,65.1
72599,65.8
72632,65.1
72666,65.8
72699,65.1
72733,65.8
72900,65.9
72967,65.5
73034,65.8
73068,65.9
73135,67.5
73235,67.8
73269,67.9
73302,67.5
73369,64.5
73402,68.4
73637,67.2
73670,6.7
73704,67.2
73737,6.7
73871,67.2
73905,65.9
74039,65.5
74106,65.9
74139,65.5
74273,65.9
74407,65.5
74440,865.9
74474,65.8
74507,655.5
74541,65.9
74574,65.5
74608,65.9
74742,65.5
74842,65.9
74876,658.1
74909,65.8
74943,658.1
74976,65.8
75010,658.1
75118,651.8
75151,651.1
75185,658.1
75218,656.1
75251,658.1
75285,65.1
75318,65.8
75351,65.1
75418,65.6
75451,656.8
75485,65.1
75518,658.8
75551,65.8
75585,651.1
75618,65.8
75651,65.9
75685,65.5
75751,65.9
75818,65.5
75885,65.9
75918,65.8
75951,65.5
76043,65.9
76177,65.5
76211,65.9
76278,65.5
76311,65.9
76345,65.5
76378,65.9
76411,65.5
76445,65.9
76554,65.5
76587,65.9
76654,65.8
76687,65.9
76720,65.5
76754,65.8
76787,65.5
76820,65.9
77013,65.8
77046,65.9
77113,65.8
77147,65.9
77180,65.8
77214,65.5
77247,65.9
77281,65.8
77314,65.5
77347,65.9
77381,65.5
77414,65.9
77515,165.5
77548,65.5
77582,6.5
77615,65.9
77682,65.5
77749,65.9
77917,65.5
78051,65.9
78084,165.5
78118,65.9
78151,65.1
78184,65.8
78285,565.8
78318,65.8
78385,365.8
78419,65.1
78486,65.8
78653,65.1
78687,65.8
78720,65.1
78754,65.8
78821,65.1
78854,65.8
78988,65.1
79055,65.8
79155,65.1
79189,658.8
79222,6.5
79256,65.8
79457,65.1
79490,65.8
79691,65.1
79725,65.6
79758,65.8
79825,65.1
79858,65.8
79925,65.1
79959,65.8
80394,6.7
80428,67.0
80461,670.1
80495,670.7
80528,61.0
80562,670.7
80595,6.7
80629,650.1
80662,65.8
80762,65.1
80796,65.8
81164,65.6
81198,65.8
81332,65.1
81365,65.0
81399,65.4
81432,65.7
81499,6.5
81566,65.3
81599,6.5
81633,65.3
81767,65.7
81800,65.3
82169,65.4
82403,65.9
82436,65.5
82637,65.9
82671,65.5
82704,65.9
82805,65.5
82838,65.9
82872,65.5
82972,65.9
83006,65.5
83073,655.1
83114,65.5
83181,65.9
83406,64.4
83440,6.4
83473,64.3
83507,6.4
83574,64.7
83674,0.5
83808,0.9
83842,0.5
83875,0.9
83908,0.5
83942,0.9
83975,0.5
84176,0.9
