Time (ms),Reading
23568,8.3
23601,48.5
23668,8.6
23693,58.5
23760,68.3
23794,58.5
23827,58.8
23860,4173.5
23894,778.5
23927,28.5
23994,0128.5
24028,28.5
24128,48.5
24162,38.1
24195,38.0
24229,38.7
24262,3.8
24296,38.7
24329,38.1
24396,38.3
24429,8.5
24463,458.5
24496,8.5
24530,4128.3
24563,28.5
24597,78.3
24630,28.3
24664,38.5
24697,8.5
24731,38.5
24764,478.5
24798,58.5
24831,478.5
24865,48.5
24898,78.3
24932,428.5
24965,438.5
24999,38.2
25032,48.5
25066,4738.5
25099,8.5
25166,8.6
25199,8.5
25233,38.5
25266,8.5
25333,38.5
25367,38.3
25400,8.5
25434,48.6
25467,48.5
25534,48.3
25568,48.5
25601,48.3
25668,48.5
25802,48.3
25869,48.5
25902,278.5
25936,57678.5
25969,5708.5
26003,55638.5
26036,528.6
26070,598.3
26103,58.5
26137,778.5
26170,37778.5
26204,978.5
26237,5778.5
26271,578.5
26304,78.5
26338,58.5
26371,58.3
26405,738.3
26438,33.8
26472,38.1
26505,3.4
26539,2.4
26572,38.5
26605,38.3
26639,3138.5
26672,40228.5
26706,523.3
26739,0.5
26773,23.5
26806,42.8
26840,3.4
26873,8.5
26907,2.3
26940,4208.6
26974,2.3
27007,23.5
27041,423.5
27074,02.3
27108,58.5
27141,7073.5
27175,38.3
27208,38.5
27442,38.3
27476,38.5
27677,7138.5
27710,38.5
27911,037318.3
27945,378.3
27978,28.6
28012,2108.5
28045,048.8
28079,4773.6
28112,07178.5
28145,38.5
28179,37728.5
28212,38.5
28380,38.3
28447,38.5
28480,28.5
28514,07138.5
28547,37328.5
28581,38.5
28614,28.5
28648,38.5
28681,738.5
28715,38.3
28748,38.5
28815,38.3
28849,38.5
28915,48.5
28949,318.3
28982,48.3
29016,48.5
29049,38.5
29116,33.3
29183,8.1
29217,48.5
29250,8.5
29284,87.7
29317,338.5
29351,8.1
29384,3.3
29417,8.1
29518,8.5
29585,9.1
29618,38.1
29652,538.5
29685,8.5
29727,4778.5
29794,58.5
29827,58.3
29860,58.5
29894,58.8
29927,9428.3
29960,28.5
29994,0158.5
30027,4158.5
30060,3158.5
30094,758.5
30127,418.5
30160,58.5
30227,7.5
30260,5.8
30294,457.8
30327,758.1
30360,4058.7
30394,28.5
30427,05.3
30460,912.3
30494,915.3
30527,7.5
30560,458.3
30594,3128.5
30627,3028.5
30652,28.3
30727,28.5
30827,728.5
30860,28.2
30894,37128.3
30927,0158.3
30960,58.1
31027,75538.1
31060,30.5
31094,5.3
31127,4.5
31160,4123.5
31194,4153.5
31227,328.5
31260,28.5
31327,2.8
31360,28.6
31394,58.8
31560,574.7
32761,57.0
33194,9.7
33394,5.8
34360,7.4
34527,9.8
34727,9.6
35893,2.9
36960,9.9
38326,4.7
39586,7.4
40423,377.7
40457,08.6
40524,7.5
40557,7.8
40591,238.2
40691,56.1
40725,78.5
40758,58.5
40792,78.4
40825,58.1
40858,78.1
40892,773.5
40925,58.5
40959,375.4
40992,3028.3
41026,28.5
41059,73.8
41093,71.3
41126,4052.5
41160,3028.5
41227,405.3
41260,715.3
41294,358.3
41327,05538.5
41360,71538.5
41402,9128.5
41436,7058.5
41469,38.5
41494,3033.5
41527,28.5
41561,3028.5
41594,3028.4
41628,413.8
41661,3038.5
41695,3023.5
41728,9658.5
41762,405.8
41795,3.8
41829,35.4
41862,9653.3
41896,4057538.5
41929,713.8
41963,7138.5
41996,3753.6
42030,33.8
42063,938.5
42097,463.3
42130,3278.5
42164,7454.0
42197,7158.3
42230,58.3
42264,728.5
42297,033.5
42331,35.8
42364,28.5
42398,758.5
42431,28.5
42465,28.3
42498,3128.5
42532,918.3
42565,358.3
42599,7158.5
42632,285.8
42666,28.3
42699,28.5
42732,158.3
42766,304.3
42799,305.4
42833,58.1
42866,35.8
42900,9658.5
42933,4153.5
42967,9038.5
43000,7128.5
43034,7123.5
43067,303.3
43101,123.5
43134,45.3
43168,9778.5
43201,378.5
43235,4378.3
43268,3778.5
43302,778.5
43335,38.5
43369,78.3
43402,7.8
43436,18.3
43469,748.3
43502,48.3
43536,408.3
43569,8.5
43603,8.3
43636,58.1
43670,4178.6
43703,93.3
43737,33.3
43770,30.8
43804,3.8
43837,4138.2
43871,9728.3
43904,3137698.5
43938,178.3
43971,58.3
44005,158.3
44038,578.3
44072,333.5
44105,8.5
44139,9138.3
44172,71378.3
44205,413.9
44239,0758.3
44272,3478.2
44306,138.5
44339,78.5
44373,40778.5
44406,8.5
44440,28.3
44482,405.3
44515,75.3
44548,58.5
44582,38.3
44615,38.5
44648,45.4
44682,73.3
44715,423.5
44748,323.5
44782,4158.6
44815,72.3
44848,4123.5
44882,123.5
44915,48.3
44948,305.3
44982,12.3
45015,34.8
45048,4.3
45081,4538.3
45115,453.5
45140,1273.5
45173,4233.5
45207,58.3
45240,41258.5
45274,358.3
45307,58.3
45341,9138.5
45374,4528.5
45408,30572558.5
45441,4473.5
45475,71378.5
45508,70378.5
45542,4178.5
45575,3778.3
45609,41578.6
45642,8.5
45675,4048.7
45709,40578.5
45742,38.2
45776,4458.5
45809,7188.5
45843,11518.3
45876,338.5
45910,058.5
45943,3178.9
45977,358.5
46010,58.5
46044,353.5
46077,7098.5
46111,3058.3
46144,558.3
46178,978.5
46211,40778.5
46245,3078.5
46278,58.3
46312,778.3
46345,31778.3
46378,31078.5
46412,378.5
46445,40.8
46479,8.5
46512,38.3
46546,3778.5
46579,455.8
46613,358.5
46646,48.5
46713,8.0
46747,8.3
46780,408.1
46814,308.1
46847,8.5
46881,18.6
46914,8.5
46981,3118.3
47015,8.5
47048,318.3
47082,008.5
47115,48.3
47148,38.5
47182,7058.1
47215,4158.3
47249,9.5
47282,723.8
47316,7734.3
47349,7133.3
47383,45.3
47416,76583.1
47450,728.5
47483,38.5
47517,3128.5
47550,338.5
47584,328.3
47617,28.5
47651,28.3
47684,458.5
47718,45.3
47751,405.3
47785,758.5
47818,13.3
47852,715.3
47885,428.3
47918,48.3
47952,9135.8
47985,458.5
48019,8.3
48052,4338.5
48086,38.3
48119,308.3
48153,4768.5
48186,528.5
48220,38.5
48253,348.5
48287,58.5
48320,58.3
48354,58.5
48387,38.3
48421,58.3
48521,358.3
48555,58.3
48588,578.5
48622,58.3
48655,48.3
48688,718.1
48722,4337.8
48755,318.3
48789,318.5
48822,48.3
48856,708.3
48889,8.5
48923,1151.8
48956,38.5
48990,378.3
49023,38.3
49057,8.5
49090,58.5
49124,8.3
49157,8.5
49191,708.5
49224,408.3
49258,18.5
49291,38.5
49325,3758.3
49358,58.3
49425,08.3
49458,338.5
49492,48.3
49525,318.5
49559,718.5
49592,918.5
49626,78.5
49659,18.3
49693,8.5
49760,48.3
49793,48.5
49827,8.1
49894,418.3
49927,8.3
49961,48.5
49994,78.5
50061,418.3
50095,48.3
50128,918.3
50161,318.3
50195,708.5
50228,318.5
50262,418.3
50295,908.5
50329,38.3
50362,38.5
50396,378.9
50429,78.5
50463,98.3
50496,418.3
50530,418.5
50563,8.3
50597,38.5
50630,418.5
50697,718.3
50731,98.5
50764,48.3
50798,718.5
50831,38.5
50865,9158.3
50898,18.5
50931,78.5
50965,38.5
50998,338.5
51032,338.3
51065,7333.5
51099,7538.3
51132,708.3
51166,718.5
51199,3178.5
51233,58.3
51266,38.2
51300,58.3
51333,538.3
51367,78.5
51400,78.3
51434,328.5
51467,5768.5
51501,378.2
51534,38.3
51568,78.2
51601,78.5
51635,972.5
51668,78.7
51701,58.3
51735,78.3
51768,58.5
51802,38.5
51869,378.5
51902,37278.5
51936,8.3
51969,985.8
52003,8.5
52036,8.3
52070,8.5
52103,8.6
52137,8.3
52170,0733.5
52237,28.5
52271,3128.3
52304,7123.5
52338,3158.5
52371,4038.5
52404,28.5
52438,58.3
52471,28.3
52505,75.3
52538,345.3
52572,715.3
52605,4123.5
52639,158.3
52672,45.3
52706,5.8
52739,433.5
52773,45.3
52806,28.5
52840,358.5
52873,28.5
52907,28.3
52940,28.5
53007,3128.3
53041,38.5
53074,18.3
53108,28.5
53141,28.3
53208,28.8
53241,28.3
53275,3728.3
53308,328.5
53342,3153.8
53375,75.3
53409,58.5
53442,38.3
53476,418.7
53509,578.3
53543,8.5
53610,08.3
53643,8.5
53677,085.8
53710,8.3
53744,37578.5
53777,58.5
53811,3778.6
53844,308.5
53878,37578.3
53911,778.3
53944,58.5
53978,58.3
54011,38.3
54045,38.8
54078,8.8
54112,58.3
54145,3728.8
54179,28.3
54212,3.5
54246,308.3
54279,08.3
54346,978.5
54380,41208.3
54413,478.3
54447,8.5
54480,48.5
54514,48.1
54547,78.5
54581,40403.9
54614,408.5
54648,8.5
54714,318.5
54748,338.5
54781,48.5
54815,8.5
54915,7.8
54949,48.3
54982,308.3
55016,4108.5
55049,408.3
55083,448.3
55116,48.5
55150,704018.5
55183,48.5
55217,48.3
55250,8.5
55317,8.1
55384,48.5
55418,878.5
55451,4338.5
55484,785.6
55518,58.5
55551,458.5
55585,47.8
55618,78.1
55652,45.8
55685,43.3
55719,438.4
55752,103.4
55786,4223.1
55853,74058.1
55886,428.5
55920,7123.5
55953,47728.5
55987,72.3
56020,2.8
56054,3.4
56121,3.8
56187,58.1
56221,38.1
56288,8.1
56321,78.4
56355,38.5
56388,7178.5
56422,38.5
56455,303538.5
56489,33.3
56522,48.5
56556,28.8
56589,01228.5
56623,33.4
56656,4728.5
56690,4128.3
56723,428.5
56790,712.8
56824,28.5
56857,2.3
56891,708.5
56924,8.3
56957,38.5
56991,358.3
57024,318.5
57058,018.5
57091,38.5
57125,0485.8
57158,048.5
57192,358.5
57225,48.5
57292,38.5
57326,48.5
57359,48.1
57393,8.5
57426,38.5
57460,8.3
57493,38.3
57527,78.5
57560,48.5
57594,97.8
57627,48.1
57661,8.1
57694,02.4
57727,928.3
57761,128.5
57794,323.8
57828,8.3
57861,402.8
57895,7123.5
57928,91235.8
57962,7123.5
58029,128.0
58062,123.5
58096,7123.3
58129,472.3
58163,1178.5
58196,728.5
58263,48.5
58297,178.5
58330,407285.8
58364,41728.5
58397,1178.3
58431,373.9
58464,915.2
58497,45.3
58531,75.8
58564,905.4
58598,333.3
58631,38.3
58665,58.5
58698,713.8
58765,58.0
58799,58.5
58832,08.1
58866,58.1
58899,4718.1
58933,47728.5
58966,773.5
59000,36778.5
59033,77728.1
59067,378.5
59100,378.3
59134,7173.3
59167,738.5
59200,48.3
59234,418.3
59267,78.3
59301,18.5
59334,48.3
59368,408.5
59401,118.5
59435,4745.9
59468,773.3
59502,7.4
59535,472.8
59569,774.3
59602,3173.5
59636,40728.3
59669,71385.8
59703,7178.5
59736,378.5
59770,4733.5
59803,473.5
59837,40733.5
59870,4773.5
59904,9678.5
59937,8.5
59970,8.3
60037,8.5
60104,308.5
60138,48.3
60171,318.3
60205,578.5
60238,78.5
60272,338.5
60305,333.5
60339,323.5
60372,438.5
60406,448.5
60439,40758.5
60473,42.8
60506,1088.9
60540,48.8
60573,423.9
60607,928.5
60640,7028.5
60674,9128.3
60707,402.2
60740,4028.5
60774,9281.1
60807,923.0
60841,28.5
60874,8.5
60908,48.5
60941,478.5
60975,4478.5
61008,41378.1
61042,758.5
61075,458.5
61109,7.5
61142,75.3
61176,28.5
61209,378.3
61243,28.5
61276,3423.5
61310,4128.5
61343,3128.5
61377,3178.5
61410,78.5
61444,48.5
61510,8.5
61544,8.9
61611,918.5
61644,738.5
61678,445578.1
61711,485.3
61745,45.4
61778,75.3
61812,4.5
61845,45.3
61879,45.4
61912,35.3
61946,45.3
61979,778.3
62013,358.3
62046,458.3
62080,9738.3
62113,753.3
62147,705.3
62180,58.5
62214,75.3
62247,48.3
62280,78.4
62314,8.3
62414,40428.1
62448,402.4
62481,3.8
62515,407.3
62548,72.3
62582,457728.5
62615,72.3
62649,7128.5
62682,43.8
62716,78.5
62783,58.5
62816,58.3
62850,8.3
62883,58.1
62917,58.3
62950,78.5
62984,78.1
63017,773.3
63050,58.5
63084,378.3
63117,8.0
63151,8.1
63184,745.2
63218,5.3
63251,35.2
63285,75.4
63318,305.3
63352,715.3
63385,358.5
63419,1098.3
63452,48.9
63486,98.5
63519,778.5
63553,78.5
63586,48.5
63620,78.1
63653,785.8
63687,8.3
63720,33.5
63753,38.5
63787,58.1
63820,78.5
63854,38.3
63887,8.3
63921,48.5
63954,4073.3
63988,38.5
64021,48.1
64055,47.3
64088,38.5
64122,478.5
64155,7.3
64189,728.5
64222,402.8
64256,23.5
64289,48.5
64323,42.8
64356,428.1
64390,178.5
64423,8.5
64465,778.0
64498,48.3
64532,8.5
64557,48.3
64590,8.5
64623,48.5
64657,78.5
64690,48.3
64724,78.1
64757,4.8
64791,3168.5
64824,776.8
64858,91.8
64891,78.5
64925,8.5
64958,724.3
64992,728.5
65025,8.3
65059,32.8
65126,8.3
65126,9185.6
65159,8.3
65226,338.3
65260,8.9
65293,234.0
65360,33.5
65460,2.3
65494,2.8
65527,3.3
65561,2.3
65594,8.3
65628,8.1
65661,238.5
65695,8.1
65728,538.1
65762,38.5
65795,538.1
65829,38.5
65896,34.6
65929,24.0
65963,34.0
66030,34.4
66063,28.5
66096,28.3
66130,38.5
66163,38.3
66197,28.3
66230,28.6
66264,38.4
66297,8.6
66331,238.5
66364,2.1
66398,28.5
66431,23.6
66465,8.3
66532,23.5
66565,28.5
66599,3.8
66632,8.5
66666,28.5
